game_id,inning,team,true_outcome,anything_else,true_outcome_result,var,value
ANA201705050,6,1,4.0,3,1.0,hometeam,ANA
ANA201705050,7,1,0.0,3,-3.0,hometeam,ANA
ANA201705050,8,1,4.0,1,3.0,hometeam,ANA
ANA201705050,9,1,2.0,8,-6.0,hometeam,ANA
ANA201705050,10,1,0.0,3,-3.0,hometeam,ANA
ANA201705060,1,0,2.0,4,-2.0,visteam,HOU
ANA201705060,2,0,2.0,3,-1.0,visteam,HOU
ANA201705060,3,0,2.0,2,0.0,visteam,HOU
ANA201705060,4,0,4.0,4,0.0,visteam,HOU
ANA201705060,5,0,0.0,4,-4.0,visteam,HOU
ANA201705060,6,0,2.0,4,-2.0,visteam,HOU
ANA201705060,7,0,2.0,2,0.0,visteam,HOU
ANA201705060,8,0,4.0,2,2.0,visteam,HOU
ANA201705060,9,0,0.0,4,-4.0,visteam,HOU
ANA201705060,1,1,2.0,2,0.0,hometeam,ANA
ANA201705060,2,1,2.0,4,-2.0,hometeam,ANA
ANA201705060,3,1,2.0,3,-1.0,hometeam,ANA
ANA201705060,4,1,0.0,4,-4.0,hometeam,ANA
ANA201705060,5,1,2.0,2,0.0,hometeam,ANA
ANA201705060,6,1,0.0,3,-3.0,hometeam,ANA
ANA201705060,7,1,4.0,1,3.0,hometeam,ANA
ANA201705060,8,1,2.0,3,-1.0,hometeam,ANA
ANA201705060,9,1,4.0,2,2.0,hometeam,ANA
ANA201705070,1,0,2.0,3,-1.0,visteam,HOU
ANA201705070,2,0,0.0,3,-3.0,visteam,HOU
ANA201705070,3,0,8.0,3,5.0,visteam,HOU
ANA201705070,4,0,0.0,3,-3.0,visteam,HOU
ANA201705070,5,0,4.0,3,1.0,visteam,HOU
ANA201705070,6,0,2.0,3,-1.0,visteam,HOU
ANA201705070,7,0,4.0,3,1.0,visteam,HOU
ANA201705070,8,0,0.0,3,-3.0,visteam,HOU
ANA201705070,9,0,2.0,2,0.0,visteam,HOU
ANA201705070,1,1,2.0,3,-1.0,hometeam,ANA
ANA201705070,2,1,8.0,4,4.0,hometeam,ANA
ANA201705070,3,1,0.0,3,-3.0,hometeam,ANA
