1,10,2,3,4,5,6,7,8,9,game_id,home_away
bundd001,trumm001,josec002,davic003,flahr001,machm001,hardj003,manct001,jonea003,smits002,BAL201705060,home
coved001,aschc001,narvo001,abrej003,sancc001,frazt001,andet001,cabrm002,garcl004,garca003,BAL201705060,away
tillc001,manct001,penaf001,davic003,flahr001,machm001,hardj003,rickj001,jonea003,trumm001,BAL201705070,home
quinj001,aschc001,sotog001,abrej003,sancc001,frazt001,salat001,cabrm002,garcl004,garca003,BAL201705070,away
gausk001,manct001,josec002,davic003,schoj001,machm001,hardj003,rickj001,jonea003,trumm001,BAL201705080,home
gonzg003,linda001,wietm001,zimmr001,murpd006,renda001,difow001,wertj001,taylm002,harpb003,BAL201705080,away
jimeu001,trumm001,josec002,davic003,schoj001,machm001,hardj003,manct001,jonea003,smits002,BAL201705090,home
schem001,wertj001,wietm001,zimmr001,murpd006,renda001,turnt001,heisc001,taylm002,harpb003,BAL201705090,away
tillc001,manct001,castw002,davic003,schoj001,machm001,hardj003,kim-h001,jonea003,trumm001,BAL201705190,home
sanca006,morak001,maill001,smoaj001,travd001,barnd001,goinr001,alfoa002,carre001,bautj002,BAL201705190,away
gausk001,trumm001,castw002,davic003,schoj001,machm001,hardj003,kim-h001,jonea003,smits002,BAL201705200,home
bolsm001,morak001,martr004,smoaj001,travd001,barnd001,goinr001,carre001,pillk001,bautj002,BAL201705200,away
milew001,castw002,josec002,davic003,schoj001,machm001,janip001,manct001,jonea003,trumm001,BAL201705210,home
estrm001,morak001,maill001,smoaj001,travd001,martr004,barnd001,alfoa002,pillk001,bautj002,BAL201705210,away
jimeu001,trumm001,castw002,davic003,schoj001,machm001,hardj003,manct001,jonea003,smits002,BAL201705220,home
gibsk002,escoe001,castj006,mauej001,dozib001,sanom001,polaj001,grosr001,buxtb001,keplm001,BAL201705220,away
bundd001,trumm001,castw002,davic003,schoj001,machm001,hardj003,manct001,jonea003,smits002,BAL201705230,home
sante001,vargk001,castj006,mauej001,dozib001,sanom001,polaj001,grosr001,buxtb001,keplm001,BAL201705230,away
tillc001,trumm001,josec002,davic003,schoj001,machm001,hardj003,manct001,jonea003,smits002,BAL201705240,home
berrj001,sanom001,gimec001,vargk001,dozib001,escoe001,polaj001,rosae001,buxtb001,keplm001,BAL201705240,away
bundd001,castw002,josec002,davic003,schoj001,machm001,hardj003,manct001,rickj001,trumm001,BAL201705290,home
montj004,hollm001,sancg002,cartc002,casts001,headc001,gregd001,gardb001,hicka001,judga001,BAL201705290,away
