game_id,var,value
ANA201706040,ump3b,timmt901
ANA201706040,howscored,park
ANA201706040,pitches,pitches
ANA201706040,oscorer,munse701
ANA201706040,temp,74
ANA201706040,winddir,tocf
ANA201706040,windspeed,7
ANA201706040,fieldcond,unknown
ANA201706040,precip,unknown
ANA201706040,sky,sunny
ANA201706040,timeofgame,193
ANA201706040,attendance,39701
ANA201706040,wp,berrj001
ANA201706040,lp,nolar001
ANA201706040,save,kintb001
ANA201706040,hometeam_score,2
ANA201706040,awayteam_score,3
ANA201706120,visteam,NYA
ANA201706120,hometeam,ANA
ANA201706120,site,ANA01
ANA201706120,date,2017/06/12
ANA201706120,number,0
ANA201706120,starttime,7:08PM
ANA201706120,daynight,night
ANA201706120,usedh,true
ANA201706120,umphome,randt901
ANA201706120,ump1b,drakr901
ANA201706120,ump2b,davig901
ANA201706120,ump3b,hobep901
ANA201706120,howscored,park
ANA201706120,pitches,pitches
ANA201706120,oscorer,munse701
ANA201706120,temp,72
ANA201706120,winddir,tocf
ANA201706120,windspeed,8
ANA201706120,fieldcond,unknown
ANA201706120,precip,unknown
ANA201706120,sky,sunny
ANA201706120,timeofgame,220
ANA201706120,attendance,36245
ANA201706120,wp,clipt001
ANA201706120,lp,alvaj003
ANA201706120,save,betad001
ANA201706120,hometeam_score,3
ANA201706120,awayteam_score,5
ANA201706130,visteam,NYA
ANA201706130,hometeam,ANA
ANA201706130,site,ANA01
ANA201706130,date,2017/06/13
ANA201706130,number,0
ANA201706130,starttime,7:08PM
ANA201706130,daynight,night
ANA201706130,usedh,true
ANA201706130,umphome,drakr901
ANA201706130,ump1b,davig901
ANA201706130,ump2b,hobep901
ANA201706130,ump3b,randt901
ANA201706130,howscored,park
ANA201706130,pitches,pitches
ANA201706130,oscorer,franm701
ANA201706130,temp,80
ANA201706130,winddir,rtol
ANA201706130,windspeed,6
ANA201706130,fieldcond,unknown
ANA201706130,precip,unknown
ANA201706130,sky,sunny
ANA201706130,timeofgame,254
ANA201706130,attendance,33159
ANA201706130,wp,middk001
ANA201706130,lp,shrec001
ANA201706130,save,
ANA201706130,hometeam_score,2
ANA201706130,awayteam_score,2
ANA201706140,visteam,NYA
ANA201706140,hometeam,ANA
ANA201706140,site,ANA01
ANA201706140,date,2017/06/14
ANA201706140,number,0
ANA201706140,starttime,7:08PM
ANA201706140,daynight,night
ANA201706140,usedh,true
ANA201706140,umphome,davig901
ANA201706140,ump1b,hobep901
ANA201706140,ump2b,randt901
ANA201706140,ump3b,drakr901
ANA201706140,howscored,park
ANA201706140,pitches,pitches
ANA201706140,oscorer,munse701
ANA201706140,temp,80
ANA201706140,winddir,fromlf
ANA201706140,windspeed,8
ANA201706140,fieldcond,unknown
ANA201706140,precip,unknown
ANA201706140,sky,sunny
ANA201706140,timeofgame,203
ANA201706140,attendance,43851
ANA201706140,wp,parkb001
ANA201706140,lp,herrr001
ANA201706140,save,hernd002
ANA201706140,hometeam_score,7
ANA201706140,awayteam_score,5
ANA201706150,visteam,KCA
ANA201706150,hometeam,ANA
ANA201706150,site,ANA01
ANA201706150,date,2017/06/15
ANA201706150,number,0
ANA201706150,starttime,7:08PM
ANA201706150,daynight,night
ANA201706150,usedh,true
ANA201706150,umphome,culbf901
ANA201706150,ump1b,buckc901
ANA201706150,ump2b,carlm901
ANA201706150,ump3b,gonzm901
ANA201706150,howscored,park
ANA201706150,pitches,pitches
ANA201706150,oscorer,johnc701
ANA201706150,temp,82
